time side pressure1 pressure2 pressure3 pressure4 pressure5 pressure6 pressure7 pressure8 pressure9 pressure10 pressure11 pressure12 pressure13 pressure14 pressure15 pressure16 acc1 acc2 acc3 ang1 ang2 ang3 totalForce cop1 cop2 
20602428 1 15 23 24 26 11 9 2 5 2 0 0 0 2 11 0 0 -0.2353515625 0.0087890625 0.97314453125 -0.5600000023841858 -5.25 2.0299999713897705 316 -0.20542758703231812 -0.061007335782051086 
20610260 0 12 10 15 13 2 8 1 10 2 1 1 2 2 8 1 1 -0.23291015625 0.03564453125 0.970703125 -1.75 3.430000066757202 -1.190000057220459 222 -0.14103467762470245 -0.09795771539211273 
20610268 0 12 11 14 13 2 7 1 10 2 1 1 2 2 8 1 1 -0.23046875 0.0380859375 0.97314453125 -1.75 3.569999933242798 -1.1200000047683716 219 -0.14210304617881775 -0.09880704432725906 
20610278 0 12 10 14 12 2 7 1 10 2 0 1 1 3 8 0 2 -0.228515625 0.033203125 0.97119140625 -1.6800000667572021 3.7100000381469727 -1.190000057220459 211 -0.14633259177207947 -0.10111203789710999 
20602440 1 17 22 23 26 11 9 2 7 2 0 0 1 2 11 0 0 -0.23291015625 0.01123046875 0.96630859375 -0.42000001668930054 -5.389999866485596 2.0999999046325684 326 -0.1992737352848053 -0.06783909350633621 
20602448 1 17 21 24 25 11 8 2 7 2 0 0 0 1 11 0 0 -0.23828125 0.01318359375 0.96435546875 -0.42000001668930054 -5.460000038146973 2.0999999046325684 317 -0.20346613228321075 -0.058847468346357346 
20602458 1 16 23 23 26 10 10 2 6 2 0 0 0 1 11 0 0 -0.23193359375 0.015625 0.96875 -0.5600000023841858 -5.670000076293945 2.0299999713897705 317 -0.20687730610370636 -0.06468378752470016 
20610288 0 12 9 14 13 2 7 1 10 2 1 1 2 3 9 1 1 -0.232421875 0.03564453125 0.96728515625 -1.2599999904632568 3.7799999713897705 -1.0499999523162842 219 -0.12905243039131165 -0.0983523279428482 
20602468 1 15 23 23 26 10 9 2 7 1 0 0 0 2 11 0 0 -0.23046875 0.01171875 0.96044921875 -0.5600000023841858 -5.809999942779541 1.8899999856948853 315 -0.20570506155490875 -0.0736866295337677 
20602480 1 17 22 24 26 10 8 3 7 1 0 0 0 2 11 0 0 -0.22509765625 0.01220703125 0.962890625 -0.5600000023841858 -5.670000076293945 1.8200000524520874 321 -0.20502066612243652 -0.0641203373670578 
20602488 1 17 22 24 26 11 9 3 6 1 0 0 0 3 9 0 0 -0.232421875 0.01025390625 0.9619140625 -0.6299999952316284 -5.880000114440918 1.6800000667572021 321 -0.2112651765346527 -0.06662027537822723 
20610300 0 11 9 15 13 2 7 1 10 2 1 1 2 2 8 2 1 -0.232421875 0.03662109375 0.9638671875 -0.9800000190734863 3.7100000381469727 -1.0499999523162842 218 -0.12931476533412933 -0.09737350046634674 
20610308 0 12 10 15 13 2 7 1 10 2 1 1 2 2 8 1 1 -0.23486328125 0.03466796875 0.96533203125 -1.0499999523162842 3.7100000381469727 -1.0499999523162842 220 -0.14090806245803833 -0.09597838670015335 
20602498 1 19 22 24 25 10 8 2 6 1 0 0 0 3 9 0 0 -0.2275390625 0.01123046875 0.96923828125 -0.699999988079071 -6.159999847412109 1.6800000667572021 315 -0.2179315835237503 -0.06553387641906738 
20602508 1 19 22 24 26 10 9 2 7 1 0 0 0 3 8 0 0 -0.236328125 0.01220703125 0.9716796875 -0.699999988079071 -6.510000228881836 1.6100000143051147 321 -0.21957437694072723 -0.07339664548635483 
20610318 0 12 10 15 14 2 9 1 10 2 1 1 2 3 9 0 1 -0.23486328125 0.03466796875 0.96533203125 -1.0499999523162842 3.7100000381469727 -1.0499999523162842 229 -0.1411183923482895 -0.10223411023616791 
20610328 0 13 10 14 14 3 8 1 9 2 2 1 2 2 9 0 0 -0.22802734375 0.0380859375 0.96484375 -1.2599999904632568 3.7799999713897705 -1.0499999523162842 224 -0.14566989243030548 -0.08784669637680054 
