time side pressure1 pressure2 pressure3 pressure4 pressure5 pressure6 pressure7 pressure8 pressure9 pressure10 pressure11 pressure12 pressure13 pressure14 pressure15 pressure16 acc1 acc2 acc3 ang1 ang2 ang3 totalForce cop1 cop2 
19280694 0 0 0 1 1 0 3 1 14 19 12 17 16 23 42 15 15 -0.228515625 0.05517578125 0.9541015625 -21.770000457763672 105.41999816894531 -30.170000076293945 412 0.24001182615756989 -0.08431451767683029 
19280705 0 0 0 0 1 0 2 1 14 21 13 22 18 24 45 15 19 -0.302734375 0.064453125 0.9404296875 19.389999389648438 33.599998474121094 -0.6299999952316284 445 0.24788853526115417 -0.08259647339582443 
19272952 1 2 2 1 1 0 0 1 1 0 0 0 0 0 1 0 0 -3.1591796875 -0.27197265625 1.05029296875 33.11000061035156 -316.04998779296875 94.1500015258789 23 0.0 0.0 
19280714 0 0 1 0 0 0 2 1 13 21 13 25 20 25 46 16 19 -0.29150390625 0.06494140625 0.95263671875 17.010000228881836 36.33000183105469 -0.9100000262260437 460 0.25016480684280396 -0.0831572562456131 
19272962 1 1 2 1 1 0 1 1 0 0 0 0 0 2 0 0 0 -3.333984375 0.05126953125 0.39794921875 -14.420000076293945 -281.1199951171875 73.5 22 0.0 0.0 
19280724 0 0 0 0 0 0 2 1 13 21 17 25 22 26 48 18 20 -0.38330078125 0.11572265625 0.9560546875 16.100000381469727 42.279998779296875 -1.4700000286102295 484 0.2552817761898041 -0.08206383883953094 
19280736 0 0 0 0 0 0 1 1 12 21 18 27 23 29 50 19 20 -0.3818359375 0.10302734375 0.91796875 18.200000762939453 50.61000061035156 -2.1700000762939453 500 0.259533166885376 -0.08213496953248978 
19280744 0 0 0 0 0 0 1 0 12 21 17 29 23 29 49 19 21 -0.25732421875 0.09326171875 1.01123046875 20.229999542236328 60.34000015258789 -2.870000123977661 498 0.2602023780345917 -0.08702727407217026 
19272974 1 3 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 -3.416015625 0.39208984375 -0.1474609375 -31.850000381469727 -229.60000610351562 51.59000015258789 16 0.0 0.0 
19272982 1 3 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 -3.2587890625 0.56640625 -0.509765625 -4.829999923706055 -170.30999755859375 38.0099983215332 20 0.0 0.0 
19272992 1 3 1 3 1 1 0 1 1 0 0 0 0 2 1 0 0 -3.50244140625 0.46044921875 -0.349609375 45.5 -117.52999877929688 23.450000762939453 35 0.0 0.0 
19280755 0 0 0 0 0 0 1 1 11 21 19 30 25 29 51 20 24 -0.26123046875 0.0751953125 1.03564453125 23.729999542236328 66.70999908447266 -3.7100000381469727 520 0.2625320553779602 -0.08309074491262436 
19280764 0 0 0 0 0 0 1 1 10 21 19 31 25 29 52 21 25 -0.19580078125 0.1240234375 1.0029296875 23.65999984741211 80.70999908447266 -3.009999990463257 525 0.2656443119049072 -0.08076909929513931 
19273002 1 2 1 2 0 1 0 1 1 0 0 0 0 2 1 0 0 -3.54541015625 0.1162109375 -0.54931640625 109.19999694824219 -79.5199966430664 14.279999732971191 27 0.0 0.0 
19273014 1 1 3 1 1 1 0 0 0 0 0 0 0 2 1 0 0 -5.84130859375 -1.76318359375 -1.57763671875 110.66999816894531 -36.959999084472656 21.700000762939453 22 0.0 0.0 
19273023 1 3 5 3 3 1 0 0 0 0 0 0 0 1 0 0 0 -2.10693359375 -0.3564453125 -1.71435546875 -58.939998626708984 148.5399932861328 33.880001068115234 37 0.0 0.0 
19273032 1 5 7 4 12 0 0 0 0 0 0 0 0 0 0 0 0 0.72119140625 0.40673828125 2.6630859375 -55.29999923706055 219.66000366210938 38.779998779296875 67 -0.3331378102302551 -0.1049252301454544 
19280776 0 0 0 0 0 0 0 0 10 21 21 31 26 29 52 21 25 -0.3310546875 0.07470703125 1.03857421875 23.3799991607666 94.36000061035156 -2.0299999713897705 526 0.26835140585899353 -0.08168066293001175 
19280784 0 0 0 0 0 0 0 0 9 20 22 31 26 28 53 21 25 -0.47509765625 0.0546875 0.99755859375 22.889999389648438 115.29000091552734 -1.9600000381469727 522 0.2710813283920288 -0.07857059687376022 
19280794 0 0 0 0 0 0 0 1 8 21 22 32 25 26 53 21 25 -0.529296875 0.09619140625 0.9443359375 22.540000915527344 139.08999633789062 -3.009999990463257 521 0.2724775969982147 -0.06853456795215607 
19273042 1 12 17 10 18 0 0 0 0 0 0 0 0 0 0 0 0 -0.0244140625 -0.201171875 0.9169921875 -35.13999938964844 139.3000030517578 42.84000015258789 135 -0.3420383930206299 -0.07954182475805283 
19280804 0 0 0 0 0 0 0 0 8 21 22 32 25 25 54 22 26 -0.50146484375 0.1083984375 0.97021484375 23.030000686645508 161.07000732421875 -4.760000228881836 521 0.27551692724227905 -0.06883929669857025 
19273054 1 18 24 17 23 1 0 0 1 0 0 0 0 0 0 0 0 0.02001953125 -0.30224609375 0.14697265625 -46.27000045776367 168.83999633789062 34.5099983215332 200 -0.3331916034221649 -0.0702395811676979 
19273062 1 24 27 21 26 1 0 0 1 0 0 0 0 0 0 0 0 0.03515625 -0.11474609375 1.2802734375 -24.639999389648438 216.3699951171875 29.469999313354492 238 -0.3352440297603607 -0.06015864759683609 
19280816 0 0 0 0 0 0 0 1 7 21 22 32 24 24 54 21 27 -0.56884765625 0.1328125 1.12353515625 23.520000457763672 182.49000549316406 -7.699999809265137 515 0.27645227313041687 -0.06250295788049698 
19280824 0 0 0 0 0 0 0 1 6 20 22 31 23 24 55 23 29 -0.53173828125 0.17333984375 1.0673828125 26.389999389648438 204.1199951171875 -10.5 513 0.2812456488609314 -0.06138451024889946 
19273072 1 27 28 21 26 1 0 0 1 0 0 0 0 1 0 0 0 -0.6767578125 -0.33642578125 1.380859375 -6.159999847412109 204.19000244140625 27.020000457763672 250 -0.3338390588760376 -0.05945096164941788 
19280834 0 0 0 0 0 0 0 1 6 18 22 31 22 23 54 25 30 -0.50048828125 0.1494140625 1.236328125 31.43000030517578 223.50999450683594 -12.600000381469727 507 0.28322359919548035 -0.0643978863954544 
19280844 0 0 0 0 0 0 0 1 5 18 21 29 22 22 54 27 31 -0.466796875 0.1767578125 1.25634765625 32.060001373291016 241.36000061035156 -13.720000267028809 501 0.2878681719303131 -0.061451178044080734 
19273082 1 29 31 23 26 1 1 0 1 0 0 0 0 2 0 0 0 -0.55810546875 -0.42236328125 1.2060546875 7.559999942779541 202.44000244140625 13.720000267028809 270 -0.3303161561489105 -0.06111796945333481 
19273094 1 32 34 26 27 0 2 0 2 0 0 0 1 3 0 0 0 -0.8056640625 -0.4453125 2.6181640625 -33.67000198364258 220.99000549316406 -24.43000030517578 302 -0.3207941949367523 -0.06795867532491684 
19273102 1 32 35 28 30 1 4 0 2 0 0 0 0 2 0 0 0 -0.80322265625 0.83251953125 2.5703125 -102.41000366210938 184.4499969482422 -28.559999465942383 319 -0.3226619362831116 -0.0677872970700264 
19280856 0 0 0 0 0 0 0 1 5 18 20 28 20 21 53 27 32 -0.55126953125 0.1865234375 1.22900390625 31.290000915527344 261.8699951171875 -16.3799991607666 488 0.2893677055835724 -0.05944604054093361 
19280864 0 0 0 0 0 0 0 1 4 17 19 25 18 20 52 26 31 -0.9892578125 0.19873046875 1.70458984375 38.63999938964844 319.54998779296875 -16.239999771118164 460 0.29315462708473206 -0.05483505129814148 
19273113 1 32 36 29 31 3 7 1 4 0 0 0 0 1 1 0 0 -0.54638671875 0.20751953125 1.630859375 -101.56999969482422 143.22000122070312 -5.880000114440918 350 -0.304592102766037 -0.07061595469713211 
19273122 1 32 35 31 31 7 11 1 7 0 0 0 1 2 2 0 0 -0.45068359375 -0.275390625 1.62744140625 -68.87999725341797 113.88999938964844 -0.699999988079071 389 -0.27791354060173035 -0.08052526414394379 
19280875 0 0 0 0 0 0 0 2 3 17 18 22 16 19 50 26 30 -0.9892578125 0.19873046875 1.70458984375 38.63999938964844 319.54998779296875 -16.239999771118164 438 0.2955281436443329 -0.046269964426755905 
19280884 0 0 0 0 0 0 0 2 2 17 14 18 14 16 48 25 29 -1.13232421875 0.09326171875 1.70263671875 47.040000915527344 354.4800109863281 -8.680000305175781 397 0.3021446168422699 -0.03606324642896652 
19273134 1 31 34 29 31 8 14 2 9 0 0 0 0 3 3 0 0 -0.46533203125 -0.02734375 1.2763671875 -39.7599983215332 67.19999694824219 -4.409999847412109 402 -0.2629602253437042 -0.08796826004981995 
19280896 0 0 0 0 0 0 0 2 2 16 11 14 11 14 45 22 26 -1.134765625 0.56884765625 2.0 55.22999954223633 408.94000244140625 -6.230000019073486 349 0.3047064542770386 -0.027990231290459633 
19273143 1 30 33 31 30 12 18 2 11 0 0 0 0 6 4 0 0 -0.2431640625 0.10595703125 1.22607421875 -34.29999923706055 37.099998474121094 -2.799999952316284 435 -0.24262872338294983 -0.09538322687149048 
19273152 1 29 32 31 30 14 18 3 12 0 1 0 1 5 5 0 0 -0.1015625 0.0048828125 1.10400390625 -30.100000381469727 14.0 -1.6100000143051147 447 -0.22929535806179047 -0.0914464071393013 
19280904 0 0 0 0 0 0 0 2 1 15 9 10 10 12 42 21 25 -1.111328125 0.2685546875 2.3720703125 87.5 421.19000244140625 -7.070000171661377 313 0.31150904297828674 -0.0202425979077816 
19280914 0 0 0 0 0 0 0 1 1 14 8 7 7 11 37 20 24 -1.142578125 0.08349609375 2.34765625 99.75 420.2099914550781 -15.819999694824219 274 0.31702545285224915 -0.019703814759850502 
19273162 1 28 31 31 30 17 17 3 14 0 1 0 1 6 7 0 0 -0.19482421875 0.04150390625 1.00390625 -24.079999923706055 3.7799999713897705 -2.240000009536743 460 -0.21580944955348969 -0.09251176565885544 
19280924 0 0 0 0 0 0 0 1 1 12 6 6 6 9 32 20 19 -0.86328125 0.52001953125 2.328125 86.80000305175781 410.760009765625 -29.190000534057617 238 0.3195347487926483 -0.017986780032515526 
19273174 1 28 30 31 30 18 19 3 16 0 1 0 1 7 11 0 0 -0.20654296875 0.05712890625 0.99658203125 -18.34000015258789 0.21000000834465027 -1.8899999856948853 482 -0.19910965859889984 -0.09471583366394043 
19273183 1 28 29 29 30 17 21 3 16 1 1 0 2 7 13 0 0 -0.28857421875 0.07080078125 1.00244140625 -13.440000534057617 -0.8400000333786011 -2.450000047683716 487 -0.18765023350715637 -0.09550405293703079 
19273193 1 26 28 29 29 20 21 4 18 1 1 0 2 6 15 0 1 -0.3525390625 0.0751953125 0.94287109375 -6.579999923706055 -2.309999942779541 -2.1700000762939453 499 -0.17423291504383087 -0.09283733367919922 
19280936 0 0 0 0 0 0 0 0 1 10 4 5 6 7 26 15 15 -0.43603515625 0.6259765625 2.49365234375 99.88999938964844 389.6199951171875 -47.810001373291016 189 0.31978631019592285 -0.023728786036372185 
19280944 0 0 0 0 0 0 0 0 0 9 3 3 5 5 17 13 10 -0.20458984375 0.689453125 2.2177734375 111.09000396728516 379.19000244140625 -68.66999816894531 140 0.32364901900291443 -0.012503904290497303 
19280954 0 0 0 0 0 0 0 0 1 6 2 2 3 3 12 8 6 0.7451171875 0.568359375 2.1181640625 150.00999450683594 367.010009765625 -92.75 94 0.31285202503204346 -0.014428057707846165 
19273203 1 25 27 29 29 23 21 5 19 2 2 0 2 7 17 0 0 -0.18603515625 0.06494140625 1.02294921875 -4.550000190734863 -2.0999999046325684 -2.5199999809265137 519 -0.1598629355430603 -0.08698610216379166 
19280965 0 0 0 0 0 0 0 0 1 2 1 1 1 1 6 4 2 0.65673828125 0.15087890625 0.65478515625 204.47000122070312 317.5199890136719 -138.74000549316406 43 0.0 0.0 
19273215 1 25 27 28 29 22 20 4 19 2 2 0 2 10 17 0 1 -0.2314453125 0.078125 1.01806640625 -5.179999828338623 0.699999988079071 -3.5 515 -0.1560840904712677 -0.09481631219387054 
19273223 1 25 27 31 29 23 20 4 19 3 3 1 2 10 18 0 2 -0.1826171875 0.07080078125 1.00927734375 -4.900000095367432 1.75 -3.8499999046325684 536 -0.14846208691596985 -0.08830217272043228 
19280976 0 0 0 0 0 0 0 0 0 1 1 1 1 0 4 2 2 0.33935546875 0.44775390625 4.23583984375 151.75999450683594 215.04000854492188 -168.97999572753906 25 0.0 0.0 
19280984 0 0 0 0 0 0 0 0 0 1 1 1 0 0 4 1 1 0.6875 0.55029296875 2.8701171875 107.02999877929688 56.70000076293945 -148.3300018310547 19 0.0 0.0 
19273233 1 24 25 29 27 23 21 5 19 4 3 1 2 9 21 0 2 -0.1826171875 0.07080078125 1.00927734375 -4.900000095367432 1.75 -3.8499999046325684 532 -0.13403506577014923 -0.08131136745214462 
19273243 1 21 24 28 27 24 21 6 20 4 3 1 2 8 22 0 2 -0.1552734375 0.044921875 1.02587890625 -4.550000190734863 1.4700000286102295 -3.430000066757202 530 -0.12555015087127686 -0.0811895951628685 
19280995 0 0 0 0 0 0 0 0 0 0 1 1 0 0 4 2 1 0.748046875 0.39697265625 2.12841796875 20.860000610351562 -70.7699966430664 -103.66999816894531 19 0.0 0.0 
19281004 0 0 0 0 0 0 0 0 0 1 0 1 0 0 3 2 0 0.47998046875 0.28759765625 1.3095703125 -69.30000305175781 -134.39999389648438 -67.12999725341797 16 0.0 0.0 
19273255 1 20 23 27 27 24 19 6 20 4 4 1 2 13 23 1 3 -0.23828125 0.06591796875 0.95556640625 -4.760000228881836 1.9600000381469727 -3.640000104904175 536 -0.1096591204404831 -0.08676457405090332 
19281016 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0.38623046875 0.3583984375 0.78369140625 -121.59000396728516 -152.52999877929688 -44.72999954223633 9 0.0 0.0 
19273263 1 20 23 27 26 23 18 5 19 6 4 1 2 13 26 1 5 -0.32763671875 0.08740234375 0.97509765625 -7.0 4.269999980926514 -4.130000114440918 536 -0.0984347015619278 -0.08024350553750992 
19273273 1 18 22 26 26 23 18 6 19 9 4 1 2 15 29 1 3 -0.32763671875 0.08740234375 0.97509765625 -7.0 4.269999980926514 -4.130000114440918 546 -0.08147290349006653 -0.07340805977582932 
19281024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0.373046875 0.4423828125 0.55078125 -130.47999572753906 -152.6699981689453 -29.329999923706055 6 0.0 0.0 
19281034 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0.357421875 0.46728515625 0.5849609375 -107.0999984741211 -151.89999389648438 -15.819999694824219 6 0.0 0.0 
19273283 1 17 20 24 26 22 16 6 19 10 4 1 2 15 31 2 3 -0.29052734375 0.0263671875 0.94189453125 -8.75 5.320000171661377 -4.340000152587891 536 -0.06712593138217926 -0.07008484750986099 
19273295 1 16 18 24 24 22 14 6 19 12 6 2 3 15 33 2 5 -0.1904296875 0.04736328125 1.0078125 -10.359999656677246 6.579999923706055 -4.480000019073486 542 -0.045895155519247055 -0.062386270612478256 
19273303 1 15 16 23 21 22 14 6 17 13 7 2 3 15 34 1 5 -0.25341796875 0.060546875 0.98779296875 -12.460000038146973 7.349999904632568 -5.25 523 -0.034543342888355255 -0.052862100303173065 
19281044 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0.38330078125 0.40185546875 0.7275390625 -75.5999984741211 -159.38999938964844 -3.2899999618530273 6 0.0 0.0 
19281056 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0.3857421875 0.330078125 0.9326171875 -53.970001220703125 -178.7100067138672 7.070000171661377 6 0.0 0.0 
19281064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0.3623046875 0.28369140625 1.08984375 -45.08000183105469 -209.22999572753906 15.680000305175781 4 0.0 0.0 
19273313 1 14 15 22 19 21 11 8 16 14 8 2 4 15 35 2 6 -0.25341796875 0.060546875 0.98779296875 -12.460000038146973 7.349999904632568 -5.25 518 -0.01541286800056696 -0.041908085346221924 
19281074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0.306640625 0.2392578125 1.14599609375 -44.52000045776367 -245.27999877929688 21.6299991607666 4 0.0 0.0 
19273323 1 13 13 21 16 20 10 8 16 17 8 3 4 15 35 3 7 -0.19775390625 -0.01416015625 0.96240234375 -12.8100004196167 7.909999847412109 -5.179999828338623 511 0.0049567436799407005 -0.034576404839754105 
19281084 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0.2177734375 0.19580078125 1.1044921875 -46.34000015258789 -278.80999755859375 23.450000762939453 4 0.0 0.0 
19273335 1 12 11 17 14 19 10 8 15 20 8 3 4 13 37 2 10 -0.12841796875 0.00830078125 1.0029296875 -11.829999923706055 8.470000267028809 -4.690000057220459 494 0.027044232934713364 -0.023883620277047157 
19273343 1 11 10 14 12 18 8 7 15 20 10 3 4 15 39 3 12 -0.2822265625 -0.0009765625 0.9501953125 -10.289999961853027 11.40999984741211 -3.7100000381469727 483 0.05125461146235466 -0.02633015066385269 
19281097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0.11376953125 0.14013671875 1.0546875 -45.63999938964844 -305.1300048828125 20.649999618530273 4 0.0 0.0 
19281104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0.01220703125 0.14892578125 1.03369140625 -39.83000183105469 -324.5899963378906 14.140000343322754 2 0.0 0.0 
19273353 1 9 9 12 11 14 7 6 14 23 12 4 5 15 39 4 12 -0.35009765625 0.03662109375 0.9228515625 -10.149999618530273 13.230000495910645 -3.7799999713897705 470 0.07761796563863754 -0.022594420239329338 
19273363 1 9 8 10 10 13 6 5 14 24 13 7 6 16 40 4 14 -0.3193359375 -0.01513671875 0.95166015625 -9.170000076293945 14.210000038146973 -3.7799999713897705 474 0.09583055973052979 -0.026227831840515137 
19281115 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -0.1044921875 0.12158203125 1.0439453125 -28.06999969482422 -339.010009765625 6.440000057220459 4 0.0 0.0 
19281125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -0.19873046875 0.08447265625 1.05126953125 -18.40999984741211 -350.0 -0.6299999952316284 2 0.0 0.0 
19273375 1 6 7 8 8 11 5 5 13 25 14 8 5 16 41 5 14 -0.17724609375 0.02783203125 0.95361328125 -8.1899995803833 14.279999732971191 -3.3600001335144043 453 0.1239398717880249 -0.019605036824941635 
19281136 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 -0.2724609375 0.09521484375 1.10205078125 -13.15999984741211 -356.510009765625 -6.300000190734863 4 0.0 0.0 
19281145 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 -0.3291015625 0.16162109375 1.16064453125 -6.789999961853027 -360.5 -9.170000076293945 6 0.0 0.0 
19281155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 -0.388671875 0.2041015625 1.294921875 7.210000038146973 -362.32000732421875 -8.890000343322754 4 0.0 0.0 
19281165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 -0.49658203125 0.28515625 1.41650390625 26.739999771118164 -364.9800109863281 -4.690000057220459 4 0.0 0.0 
19273383 1 7 7 7 7 8 4 4 12 24 16 8 8 16 41 6 14 -0.29248046875 -0.01513671875 0.9599609375 -5.949999809265137 15.470000267028809 -3.009999990463257 445 0.13611820340156555 -0.02341020293533802 
19273393 1 6 4 7 7 7 4 4 11 24 17 10 9 15 43 7 14 -0.24853515625 0.03173828125 1.01123046875 -3.7100000381469727 16.100000381469727 -2.240000009536743 444 0.15517081320285797 -0.018272744491696358 
19273403 1 5 5 6 8 6 4 4 11 24 17 11 8 18 42 6 15 -0.1611328125 0.02490234375 0.9775390625 -0.6299999952316284 18.549999237060547 -2.5199999809265137 444 0.1553042083978653 -0.028224952518939972 
19273415 1 5 7 6 7 6 3 4 10 24 19 11 9 20 43 6 16 -0.1669921875 0.01708984375 1.00830078125 3.9200000762939453 24.079999923706055 -2.0999999046325684 454 0.15838265419006348 -0.028455961495637894 
19281177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 -0.71435546875 0.318359375 1.35302734375 44.79999923706055 -365.3999938964844 5.949999809265137 4 0.0 0.0 
19281185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 -1.16162109375 0.4287109375 1.58203125 66.91999816894531 -338.239990234375 37.59000015258789 6 0.0 0.0 
